source,anchor,operative_outcome,recommended_destination,required_superior_delegation,duplicated_safeguards_cross_reference_risks,preservation_scenarios,destination_code
draft/rules_draft.md,제1조(목적),"본회는 컴퓨터에 관한 교육·연구, 회원의 학술·취미 활동과 교류를 목적으로 한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제2조(정의) ①,"“본회”란 서울대학교 중앙컴퓨터연구회 SCSC를 말하고, “SCSC”란 본회를 가리키는 영문 약칭을 말한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제2조(정의) ②,"“재적회원”이란 해당 학기 등록을 마친 사람을 말하고, 이 회칙에서 “회원”이란 재적회원을 말한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제2조(정의) ③,“OB”란 제7조제3항에 따라 회장의 승인을 받은 사람을 말한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제2조(정의) ④,"“임원”이란 재적회원 중 제25조에 따라 회장으로 당선되거나 제14조제1항에 따라 임명된 사람을 말하고, “임원진”이란 모든 임원으로 구성된 상설 집행기구를 말한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,all officers unavailable/reconstruction,BYL
draft/rules_draft.md,제2조(정의) ⑤,“운영진”이란 제9조제3항에 따라 본회 업무를 위임받거나 제26조·제27조에 따라 TF 운영진으로 지정된 사람을 말한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제2조(정의) ⑥,“공식 채널”이란 「SCSC 의사결정 세칙」 제2조제1항에 따라 지정된 공지·토론·표결 수단을 말한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제2조(정의) ⑦,“회원발의 정족수”란 15명을 말한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only. Threshold/denominator duplicate risk: keep one authoritative statement and test every cross-reference.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제2조(정의) ⑧,“총회 성립 정족수”란 공고일 재적회원 수의 10분의 1에 5명을 더하고 소수점 이하는 올린 수를 말한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only. Threshold/denominator duplicate risk: keep one authoritative statement and test every cross-reference.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제3조(명칭·소재지·소속) ①,"본회의 국문 표기는 서울대학교 중앙컴퓨터연구회 SCSC, 국문 약칭은 서울대 컴퓨터 연구회로 한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제3조(명칭·소재지·소속) ②,"본회의 영문 표기는 SNU Computer Study Club, 영문 약칭은 SCSC로 한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제3조(명칭·소재지·소속) ③,"본회는 서울대학교가 배정한 동아리방을 주된 소재지로 하고 중앙동아리 취미분과에 소속하며, 학교와 총동아리연합회가 적용하는 규정을 준수한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제4조(규정 체계) ①,"규정은 회칙, 총회가 제정한 세칙, 위임된 운영방침, 서식·매뉴얼·행정기록 순으로 효력이 있다. 하위 규정과 관례는 상위 규정에 반할 수 없다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제4조(규정 체계) ②,총회만 회칙과 세칙을 제정·개정·폐지한다. 운영방침은 위임받은 기구가 정하고 전문·시행일·변경 이력을 시행 전에 공개한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제5조(공개와 정보보호) ①,"회칙·세칙·운영방침, 총회·임원회의의 결정, 예산·결산은 공개한다. 개인정보·보안정보·분쟁자료는 필요한 범위에서 가리고 비공개 사유와 재검토일을 기록한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only. Privacy/secrecy overlap: align with privacy policy without weakening purpose limitation or ballot confidentiality.,independent reconsideration,BYL
draft/rules_draft.md,제5조(공개와 정보보호) ②,공개 기록의 열람·설명 요구에는 7일 안에 자료를 제공하거나 제공 예정일을 알린다. 전부 또는 일부를 제공하지 않으면 근거·범위·재검토일과 이의 방법을 알린다.,"Delegated policy P — privacy, security and retention","Bylaws must preserve privacy/access rights, minimization, security and incident duties; delegate the processing inventory, notices, retention schedule and technical controls to executive policy.","Policy must cite exact superior delegation and may not add eligibility, fees, rights limits, sanctions or spending authority. Deadline/retention duplicate risk: centralize or cross-reference; do not silently change on relocation.",independent reconsideration,PRIV
draft/rules_draft.md,제5조(공개와 정보보호) ③,개인정보와 인증정보는 업무상 필요한 최소 범위에서 처리하고 접근·변경·삭제·복구 기록을 보호한다.,"Delegated policy P — privacy, security and retention","Bylaws must preserve privacy/access rights, minimization, security and incident duties; delegate the processing inventory, notices, retention schedule and technical controls to executive policy.","Policy must cite exact superior delegation and may not add eligibility, fees, rights limits, sanctions or spending authority. Privacy/secrecy overlap: align with privacy policy without weakening purpose limitation or ballot confidentiality.",tested account recovery and backup,PRIV
draft/rules_draft.md,제5조(공개와 정보보호) ④,"임원회의는 처리 목적·항목·근거·보유기간, 제3자 제공·위탁, 파기, 정보주체의 권리와 담당자를 정한 개인정보 처리방침을 공개한다.","Delegated policy P — privacy, security and retention","Bylaws must preserve privacy/access rights, minimization, security and incident duties; delegate the processing inventory, notices, retention schedule and technical controls to executive policy.","Policy must cite exact superior delegation and may not add eligibility, fees, rights limits, sanctions or spending authority. Privacy/secrecy overlap: align with privacy policy without weakening purpose limitation or ballot confidentiality.","ordinary operation; preserve actor, trigger, threshold, record and outcome",PRIV
draft/rules_draft.md,제5조(공개와 정보보호) ⑤,"본회는 개인정보나 인증정보의 분실·유출 또는 무단 접근을 알게 되면 즉시 접근을 차단하고 증거와 영향을 확인한다. 관계 법령에 따른 통지·신고, 복구 및 재발 방지 조치를 하고 그 내용을 기록한다.","Delegated policy P — privacy, security and retention","Bylaws must preserve privacy/access rights, minimization, security and incident duties; delegate the processing inventory, notices, retention schedule and technical controls to executive policy.","Policy must cite exact superior delegation and may not add eligibility, fees, rights limits, sanctions or spending authority. Privacy/secrecy overlap: align with privacy policy without weakening purpose limitation or ballot confidentiality.",safe intake and external-reporting option; tested account recovery and backup,PRIV
draft/rules_draft.md,제6조(구성원),본회의 구성원은 재적회원과 OB이다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제7조(가입·등록·탈퇴) ①,본회의 목적에 동의하고 공고된 가입·학기 등록 절차를 마친 사람은 재적회원이 된다. 서울대학교 학사·대학원 과정의 재학·휴학생과 졸업생은 등록할 수 있다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제7조(가입·등록·탈퇴) ②,"다음 학기에 등록하지 않으면 회원 자격이 종료되고, 재등록하면 회복된다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제7조(가입·등록·탈퇴) ③,한 학기 이상 회원이었던 사람은 신청하여 OB가 될 수 있다. 재적 이력과 신청 의사를 확인한 회장이 승인한다. OB 자격은 탈퇴하거나 재적회원으로 등록하거나 제39조에 따라 취소되면 끝난다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제7조(가입·등록·탈퇴) ④,구성원은 임원진에 통지하여 탈퇴할 수 있으며 자산·계정·미정산 금액을 정리해야 한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제8조(등록 확인) ①,가입·등록에는 자격과 해당 학기 활동 의사를 확인하는 최소한의 자료만 요구한다.,Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제8조(등록 확인) ②,"확인 방법, OB 신청·승인과 접근 범위는 운영방침으로 정한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제9조(권리) ①,"회원은 총회에서 발언하고 안건을 제출하며 표결과 회장 선거에 참여할 권리, 본회 활동과 공동자산을 이용할 권리, 공개 기록을 열람하고 설명을 요구할 권리 및 안전·존엄·개인정보를 보호받을 권리를 가진다. 차별·괴롭힘·보복을 받아서는 안 된다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only. Privacy/secrecy overlap: align with privacy policy without weakening purpose limitation or ballot confidentiality.,"election eligibility, secrecy, verification, deadlock and challenge; anti-retaliation",BYL
draft/rules_draft.md,제9조(권리) ②,"회원은 과도한 부담이 없는 범위에서 합리적 편의와 대체 참여를 요청할 수 있다. 담당자는 필요한 정보만 확인하여 제공 방법을 알리고, 제공하기 어려우면 이유와 대안을 제시한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,reasonable accommodation/alternative participation,BYL
draft/rules_draft.md,제9조(권리) ③,"OB는 공개 기록, OB 채널과 공고된 행사에 접근할 수 있다. 임원회의는 목적·권한·기간을 공고하여 OB에게 본회 업무를 위임할 수 있고, OB는 위임받은 범위에서 운영진으로 참여할 수 있다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,"ordinary operation; preserve actor, trigger, threshold, record and outcome",BYL
draft/rules_draft.md,제10조(의무) ①,"회원은 상위 규정과 적법한 의결을 따르고 회비를 납부하며, 타인의 권리와 본회의 자산·계정·정보를 보호하고 맡은 금액·자산·업무를 정산·반환·인계해야 한다.",Compact bylaws (superior rule),None; preserve in member-adopted bylaws.,Do not duplicate operative wording below; lower instruments should cross-reference and implement only.,handover and access revocation,BYL
